evaluation_id,temperature,iteration,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,accepted,elapsed_minutes
18,0.2672798950712902,1,6.0,500,snappy,uniform,mean,72.1608696937561,71.872,72.972,0.412,37658.31096538731,37247.74,37827.29,209.41,True,69.98
19,0.2473195382353421,1,6.0,500,snappy,latest,mean,71.86922273635864,71.38,72.264,0.301,37842.90321629129,37600.06,38086.74,190.5,True,69.98
20,0.2288498129521792,1,2.0,500,snappy,latest,mean,71.95154614448548,71.526,72.26,0.248,37759.39448563622,37585.15,37997.98,137.93,True,76.31
21,0.211759399447089,1,2.0,500,snappy,uniform,mean,72.16755957603455,71.582,72.556,0.352,37645.47964913367,37461.95,37966.99,191.13,True,82.66
22,0.1959452912620997,1,2.0,500,snappy,zipfian,mean,72.41033487319946,71.434,73.321,0.685,37516.019547627686,37016.69,38049.38,376.95,True,89.03
23,0.1813121744207746,1,2.0,500,zstd,zipfian,mean,72.50788464546204,71.849,73.499,0.584,37509.14407156462,36960.04,37811.09,319.21,True,95.4
24,0.167771852956734,1,2.0,500,zstd,latest,mean,71.69905548095703,71.191,72.306,0.37,37982.12418809894,37651.49,38274.08,210.5,True,95.4
25,0.1552427173434795,1,1.0,500,zstd,latest,mean,71.92747430801391,71.149,72.348,0.408,37855.65231214478,37612.76,38313.6,239.88,True,101.73
26,0.1436492526216695,1,1.0,500,snappy,latest,mean,72.13465242385864,71.381,72.814,0.552,37681.91401563842,37378.81,38091.84,285.89,True,108.08
27,0.1329215832592545,1,8.0,500,snappy,latest,mean,72.11210055351258,71.64,72.383,0.282,37677.00549128759,37515.75,37953.48,161.71,True,114.42
28,0.1229950520012778,1,2.0,500,snappy,latest,mean,71.95154614448548,71.526,72.26,0.248,37759.39448563622,37585.15,37997.98,137.93,True,114.42
29,0.1138098301710063,1,8.0,500,snappy,latest,mean,72.11210055351258,71.64,72.383,0.282,37677.00549128759,37515.75,37953.48,161.71,True,114.42
30,0.1053105570736189,1,8.0,500,none,latest,mean,71.82165222167968,71.555,72.12,0.18,37866.4729858372,37703.06,38057.86,114.77,True,120.74
31,0.0974460063290848,1,8.0,100,none,latest,mean,72.15455551147461,71.637,72.52,0.349,37687.91633154514,37477.31,37971.49,189.79,True,127.08
32,0.0901687771231702,1,8.0,100,zstd,latest,mean,71.64725699424744,71.345,72.416,0.39,38000.35212386012,37602.82,38199.26,206.53,True,133.39
33,0.0834350085156978,1,8.0,500,zstd,latest,mean,71.71480474472045,71.319,72.193,0.288,37965.52469417805,37674.76,38203.25,173.06,True,139.7
34,0.077204115084153,1,0.5,500,zstd,latest,mean,72.23216199874878,71.833,72.895,0.437,37681.96177212418,37310.17,37888.88,222.81,True,139.7
35,0.0714385423093198,1,1.0,500,zstd,latest,mean,71.92747430801391,71.149,72.348,0.408,37855.65231214478,37612.76,38313.6,239.88,True,139.7
36,0.0661035402286221,1,0.5,500,zstd,latest,mean,72.23216199874878,71.833,72.895,0.437,37681.96177212418,37310.17,37888.88,222.81,True,139.7
37,0.0611669539929428,1,0.5,1,zstd,latest,mean,72.0763979434967,71.475,72.649,0.383,37773.8841674633,37465.24,38111.69,210.83,True,146.04
38,0.0565990300645773,1,4.0,1,zstd,latest,mean,72.27115802764892,71.967,72.859,0.313,37650.67142394135,37339.56,37819.47,165.79,True,152.39
39,0.0523722368882474,1,4.0,500,zstd,latest,mean,71.72507438659667,71.358,72.479,0.394,37968.8551442617,37567.5,38160.54,212.15,True,158.7
40,0.0484610989543321,1,4.0,500,zstd,uniform,mean,72.51501612663269,72.107,73.084,0.339,37531.98056359037,37224.45,37775.38,187.33,True,165.08
41,0.0448420432541918,1,4.0,1,zstd,uniform,mean,72.6186475276947,72.191,73.128,0.373,37475.3511919571,37216.33,37726.4,204.49,True,171.47
42,0.0414932572021471,1,4.0,1,zstd,latest,mean,72.27115802764892,71.967,72.859,0.313,37650.67142394135,37339.56,37819.47,165.79,True,171.47
43,0.0383945571677891,1,4.0,1,snappy,latest,mean,71.77004466056823,71.295,72.152,0.289,37883.925548601794,37653.7,38140.08,170.36,True,177.78
44,0.0355272668262433,1,4.0,500,snappy,latest,mean,71.93883605003357,71.804,72.1,0.097,37773.43289699531,37695.29,37821.15,45.75,False,184.11
45,0.0328741045931894,1,4.0,1,zstd,latest,mean,72.27115802764892,71.967,72.859,0.313,37650.67142394135,37339.56,37819.47,165.79,True,184.11
46,0.0304190794661879,1,4.0,1,zstd,uniform,mean,72.6186475276947,72.191,73.128,0.373,37475.3511919571,37216.33,37726.4,204.49,True,184.11
47,0.0281473946445359,1,4.0,100,zstd,uniform,mean,72.12326693534851,71.794,72.608,0.274,37725.966932772615,37469.63,37932.11,160.46,True,190.45
48,0.026045358346754,1,4.0,100,snappy,uniform,mean,72.53891315460206,72.231,73.29,0.384,37455.93405156912,37030.07,37629.9,222.04,True,196.83
49,0.0241003012881874,1,8.0,100,snappy,uniform,mean,72.22472314834594,71.701,72.686,0.318,37612.61337477234,37368.99,37918.62,178.29,True,203.18
50,0.0223005003213479,1,8.0,500,snappy,uniform,mean,72.29504432678223,72.015,72.509,0.187,37572.64401134674,37458.12,37731.4,104.03,True,209.54
51,0.0206351077787642,1,0.25,500,snappy,uniform,mean,72.52460517883301,72.386,72.676,0.095,37466.726646695366,37388.09,37533.35,46.93,True,215.92
52,0.0190940860924809,1,6.0,500,snappy,uniform,mean,72.1608696937561,71.872,72.972,0.412,37658.31096538731,37247.74,37827.29,209.41,True,215.92
53,0.0176681472961469,1,6.0,500,snappy,zipfian,mean,72.65091242790223,72.17,73.061,0.299,37395.86098485351,37247.74,37650.38,144.98,True,222.31
54,0.0163486970450641,1,6.0,500,none,zipfian,mean,72.41658172607421,72.231,72.549,0.146,37533.49943303932,37457.02,37637.65,73.7,True,228.67
