evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
68,4.0,1,none,zipfian,mean,82.26375942230224,81.351,83.609,0.807,32843.934622818895,32486.9,33185.98,263.77,488.99
69,6.0,1,none,zipfian,mean,82.60798163414002,81.113,83.77,0.891,32885.767089464156,32415.32,33427.35,398.03,496.21
70,8.0,1,none,zipfian,mean,81.95832161903381,80.875,83.385,0.879,32920.48361039818,32336.3,33378.97,366.11,503.37
71,0.25,100,none,zipfian,mean,82.04542241096496,81.163,82.812,0.635,32915.87040584947,32681.82,33251.94,241.28,510.54
72,0.5,100,none,zipfian,mean,81.62491731643676,80.999,82.01,0.342,33078.35696888027,32923.08,33320.32,141.2,517.68
73,1.0,100,none,zipfian,mean,82.38648271560669,81.278,83.67,0.851,32928.91352175562,32747.46,33204.49,157.52,524.88
74,2.0,100,none,zipfian,mean,81.82678270339966,80.872,82.808,0.741,33061.50809399194,32692.26,33393.77,242.38,532.03
75,4.0,100,none,zipfian,mean,81.77907462120056,81.424,82.237,0.264,32995.86378150708,32802.43,33150.75,113.4,539.18
76,6.0,100,none,zipfian,mean,82.53940815925598,81.892,83.484,0.564,32928.40974299553,32277.18,33182.97,331.35,546.39
77,8.0,100,none,zipfian,mean,82.05421767234802,81.378,82.708,0.492,32867.52830779845,32600.67,33156.33,210.01,553.56
78,0.25,500,none,zipfian,mean,82.00579257011414,81.4,82.537,0.366,32892.61883557567,32663.89,33155.9,157.81,560.73
79,0.5,500,none,zipfian,mean,81.7293839931488,81.328,82.499,0.423,33097.35130541273,32968.45,33198.9,77.16,567.87
80,1.0,500,none,zipfian,mean,82.09780416488647,80.92,82.968,0.66,32866.924978773444,32522.8,33362.0,273.15,575.05
81,2.0,500,none,zipfian,mean,82.16144828796386,81.673,82.891,0.419,32834.91434383658,32532.31,33033.96,174.54,582.23
82,4.0,500,none,zipfian,mean,82.10630631446838,81.193,82.547,0.547,32941.97028342789,32671.4,33245.03,229.89,589.4
83,6.0,500,none,zipfian,mean,81.74711518287658,81.34,82.047,0.267,33043.89430311435,32885.44,33358.53,172.09,596.55
84,8.0,500,none,zipfian,mean,81.49272871017456,80.741,82.272,0.589,33201.57341017758,33017.77,33437.39,170.12,603.67
85,0.25,1,snappy,zipfian,mean,82.09487028121949,81.12,83.087,0.646,32908.53197522568,32727.78,33273.11,198.84,610.85
86,0.5,1,snappy,zipfian,mean,82.01390638351441,81.358,83.031,0.621,32903.50674154239,32473.3,33176.09,256.23,618.01
87,1.0,1,snappy,zipfian,mean,82.18408207893371,81.257,83.488,0.779,32883.098997959896,32599.42,33215.26,243.35,625.2
88,2.0,1,snappy,zipfian,mean,82.13843307495117,81.564,83.386,0.674,32920.47732209527,32748.3,33057.42,120.92,632.37
89,4.0,1,snappy,zipfian,mean,81.4811942100525,80.146,83.677,1.234,33105.30950769668,32190.73,33673.58,518.58,639.5
90,6.0,1,snappy,zipfian,mean,82.00963349342346,81.213,82.957,0.605,33037.91525304491,32668.06,33506.98,311.52,646.67
91,8.0,1,snappy,zipfian,mean,81.8194965839386,80.9,83.062,0.71,32997.6629938062,32435.86,33340.71,319.95,653.82
92,0.25,100,snappy,zipfian,mean,82.84038105010987,82.117,83.549,0.537,32807.36804389405,32594.86,33122.87,172.51,661.05
93,0.5,100,snappy,zipfian,mean,83.03110466003417,82.162,83.534,0.563,32916.289522086714,32616.04,33153.32,180.98,668.31
94,1.0,100,snappy,zipfian,mean,82.12945394515991,81.608,83.128,0.523,32938.008061725064,32416.14,33336.81,298.98,675.48
95,2.0,100,snappy,zipfian,mean,81.76680407524108,81.109,82.855,0.635,32979.527497480485,32529.0,33256.69,266.33,682.63
96,4.0,100,snappy,zipfian,mean,82.04132690429688,80.718,82.56,0.677,32863.9769456281,32645.57,33429.53,289.11,689.8
97,6.0,100,snappy,zipfian,mean,81.68515338897706,80.472,82.734,0.722,33015.42277697892,32569.15,33541.66,311.53,696.94
98,8.0,100,snappy,zipfian,mean,81.8007911682129,81.105,82.287,0.424,32958.84733726718,32756.68,33259.28,182.73,704.09
99,0.25,500,snappy,zipfian,mean,82.2703975200653,81.243,83.162,0.648,32764.365877106717,32388.25,33190.29,270.95,711.28
100,0.5,500,snappy,zipfian,mean,81.85942168235779,81.495,82.336,0.315,32962.183002466554,32744.95,33132.73,141.9,718.44
101,1.0,500,snappy,zipfian,mean,81.55324034690857,80.549,83.838,1.212,33255.515132231805,32858.85,33632.43,280.66,725.57
102,2.0,500,snappy,zipfian,mean,82.19053521156312,80.983,83.29,0.75,32801.81434953137,32348.56,33304.28,309.54,732.75
103,4.0,500,snappy,zipfian,mean,81.76083936691285,81.436,82.138,0.273,32978.189774340965,32819.25,33116.87,114.55,739.9
104,6.0,500,snappy,zipfian,mean,81.87532548904419,80.979,82.465,0.493,32927.981655198586,32674.73,33309.91,210.9,747.05
105,8.0,500,snappy,zipfian,mean,81.29756188392639,81.027,81.592,0.222,33280.66131033438,33049.74,33530.68,154.27,754.16
106,0.25,1,zstd,zipfian,mean,87.90143957138062,87.089,89.497,0.846,30601.243990324205,30045.19,30868.29,291.35,761.82
107,0.5,1,zstd,zipfian,mean,85.74870300292969,85.415,86.52,0.421,31665.578593578073,31515.06,32003.6,184.11,769.3
108,1.0,1,zstd,zipfian,mean,82.21687889099121,81.126,82.637,0.558,33098.77531068465,32879.53,33338.98,148.16,776.48
109,2.0,1,zstd,zipfian,mean,81.95369853973389,81.087,82.601,0.495,33042.02120086038,32686.41,33311.65,240.0,783.64
110,4.0,1,zstd,zipfian,mean,82.09075379371643,80.816,83.299,0.945,32901.706676463386,32394.81,33445.25,400.0,790.82
