evaluation_id,temperature,iteration,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,accepted,elapsed_minutes
30,0.1053105570736189,1,6.0,100,none,uniform,mean,75.39076552391052,75.162,75.683,0.167,36026.11022635986,35865.9,36137.27,88.25,True,158.73
31,0.0974460063290848,1,6.0,100,none,latest,mean,76.65740489959717,76.407,77.197,0.303,35484.13470130893,35239.38,35632.26,137.18,True,165.45
32,0.0901687771231702,1,2.0,100,none,latest,mean,76.46213536262512,76.2,76.901,0.259,35596.34392440426,35383.55,35715.78,125.9,True,172.15
33,0.0834350085156978,1,0.25,100,none,latest,mean,79.60280308723449,79.437,80.006,0.208,34051.75116173856,33924.36,34125.14,69.39,False,179.12
34,0.077204115084153,1,2.0,500,none,latest,mean,76.39178409576417,75.757,76.906,0.377,35616.75636676939,35371.82,35955.56,193.71,True,185.82
35,0.0714385423093198,1,1.0,500,none,latest,mean,76.70714240074157,76.52,76.937,0.158,35456.553879915664,35334.23,35551.61,79.35,True,192.54
36,0.0661035402286221,1,0.25,500,none,latest,mean,79.59214987754822,78.919,79.907,0.36,34053.091199314455,33902.35,34351.81,160.95,True,199.51
37,0.0611669539929428,1,0.25,500,zstd,latest,mean,92.61930713653564,91.551,94.577,1.066,29015.967352326115,28377.28,29360.83,346.27,False,207.56
38,0.0565990300645773,1,0.25,500,zstd,latest,mean,92.61930713653564,91.551,94.577,1.066,29015.967352326115,28377.28,29360.83,346.27,False,207.56
39,0.0523722368882474,1,6.0,500,none,latest,mean,76.73309721946717,76.236,77.426,0.413,35450.20626929992,35123.83,35649.13,187.79,True,214.29
40,0.0484610989543321,1,1.0,500,none,latest,mean,76.70714240074157,76.52,76.937,0.158,35456.553879915664,35334.23,35551.61,79.35,True,214.29
41,0.0448420432541918,1,1.0,1,none,latest,mean,76.94564032554626,76.675,77.338,0.255,35341.80352148375,35146.49,35477.21,126.85,True,221.04
42,0.0414932572021471,1,1.0,1,zstd,latest,mean,78.07656531333923,77.414,78.55,0.428,34761.525897142186,34529.27,35064.17,205.14,True,227.88
43,0.0383945571677891,1,1.0,1,zstd,uniform,mean,74.7836642742157,74.232,75.735,0.578,36318.49135699151,35818.22,36588.68,289.03,True,234.44
44,0.0355272668262433,1,1.0,1,zstd,zipfian,mean,79.4875506401062,78.904,80.042,0.38,34091.80063403073,33852.13,34375.34,168.47,False,241.4
45,0.0328741045931894,1,1.0,1,zstd,latest,mean,78.07656531333923,77.414,78.55,0.428,34761.525897142186,34529.27,35064.17,205.14,True,241.4
46,0.0304190794661879,1,1.0,500,zstd,latest,mean,77.62612648010254,76.739,78.146,0.505,34969.7716082425,34716.57,35394.8,243.04,True,248.2
47,0.0281473946445359,1,1.0,500,snappy,latest,mean,76.84527235031128,76.301,77.264,0.363,35359.40107042615,35153.73,35622.84,175.63,True,254.94
48,0.026045358346754,1,1.0,500,zstd,latest,mean,77.62612648010254,76.739,78.146,0.505,34969.7716082425,34716.57,35394.8,243.04,True,254.94
49,0.0241003012881874,1,8.0,500,zstd,latest,mean,76.74966144561768,76.18,77.228,0.386,35483.50756760472,35267.05,35690.39,145.07,True,261.67
50,0.0223005003213479,1,2.0,500,zstd,latest,mean,76.26198830604554,75.809,76.568,0.325,35652.35148955058,35504.76,35886.01,162.0,True,268.36
51,0.0206351077787642,1,6.0,500,zstd,latest,mean,76.47455549240112,75.937,76.92,0.368,35551.62756358343,35330.81,35820.23,180.09,False,275.06
52,0.0190940860924809,1,2.0,500,snappy,latest,mean,76.574347448349,75.362,80.439,1.938,36010.98430071432,35914.2,36119.93,83.23,True,281.78
53,0.0176681472961469,1,2.0,1,snappy,latest,mean,76.04607129096985,75.624,76.355,0.287,35760.47185717213,35611.94,35988.92,157.03,True,288.45
54,0.0163486970450641,1,4.0,1,snappy,latest,mean,76.02061553001404,75.243,76.891,0.55,35794.02223146323,35364.98,36195.0,276.65,True,295.12
