evaluation_id,temperature,iteration,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,accepted,elapsed_minutes
20,0.2288498129521792,1,6.0,500,zstd,latest,mean,81.68146018981933,81.026,82.379,0.528,33101.272241771905,32812.1,33380.71,225.32,True,129.16
21,0.211759399447089,1,6.0,500,zstd,zipfian,mean,81.84401140213012,80.97,83.065,0.68,33127.76296645718,32849.15,33395.52,193.14,True,136.32
22,0.1959452912620997,1,1.0,500,zstd,zipfian,mean,81.79116630554199,80.829,82.944,0.773,33121.993248199135,32786.89,33522.77,260.28,True,143.47
23,0.1813121744207746,1,1.0,1,zstd,zipfian,mean,81.95801963806153,81.246,82.572,0.538,32964.0230570588,32711.06,33282.2,230.09,True,150.63
24,0.167771852956734,1,1.0,500,zstd,zipfian,mean,81.79116630554199,80.829,82.944,0.773,33121.993248199135,32786.89,33522.77,260.28,True,150.63
25,0.1552427173434795,1,1.0,100,zstd,zipfian,mean,81.60897731781006,80.719,82.126,0.499,33159.18043740072,32875.3,33474.12,194.18,True,157.76
26,0.1436492526216695,1,0.5,100,zstd,zipfian,mean,85.01771416664124,84.588,85.618,0.413,31724.451496944755,31485.6,31882.04,163.39,False,165.18
27,0.1329215832592545,1,1.0,100,zstd,latest,mean,82.62571530342102,81.766,83.173,0.502,32697.380558043096,32470.42,33096.74,224.39,True,172.4
28,0.1229950520012778,1,1.0,100,none,latest,mean,82.08773474693298,81.742,82.405,0.258,32884.857789862275,32783.95,33013.09,92.88,True,179.58
29,0.1138098301710063,1,1.0,500,none,latest,mean,82.38613543510436,81.856,82.825,0.405,32749.88114265753,32591.54,32971.42,164.86,True,186.77
30,0.1053105570736189,1,1.0,500,snappy,latest,mean,81.79743032455444,80.758,82.568,0.617,33017.03704049982,32665.56,33429.97,245.39,True,186.77
31,0.0974460063290848,1,1.0,500,zstd,latest,mean,82.32285676002502,81.769,83.332,0.55,32843.35632252671,32391.53,33073.23,235.76,True,186.78
32,0.0901687771231702,1,1.0,500,snappy,latest,mean,81.79743032455444,80.758,82.568,0.617,33017.03704049982,32665.56,33429.97,245.39,True,186.78
33,0.0834350085156978,1,8.0,500,snappy,latest,mean,81.7398009777069,81.086,82.173,0.372,32995.07717339937,32802.43,33276.57,162.16,True,193.92
34,0.077204115084153,1,8.0,500,zstd,latest,mean,82.07916049957275,81.351,82.977,0.563,32911.02815876222,32549.27,33235.53,239.53,True,201.09
35,0.0714385423093198,1,8.0,500,zstd,uniform,mean,81.4854854106903,80.703,82.418,0.727,33178.16552557396,32779.75,33519.26,311.48,True,208.22
36,0.0661035402286221,1,8.0,500,zstd,latest,mean,82.07916049957275,81.351,82.977,0.563,32911.02815876222,32549.27,33235.53,239.53,True,208.22
37,0.0611669539929428,1,8.0,100,zstd,latest,mean,81.88589487075805,81.7,82.179,0.187,32983.38893230223,32842.41,33071.09,89.61,True,215.37
38,0.0565990300645773,1,8.0,1,zstd,latest,mean,82.39466104507446,80.836,84.975,1.431,32857.6028661921,32083.42,33467.11,475.82,True,222.57
