evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
67,2.0,1,none,zipfian,mean,76.96976866722108,76.376,77.273,0.331,35353.1538107367,35191.42,35652.11,165.99,442.45
68,4.0,1,none,zipfian,mean,77.3623426914215,76.974,77.651,0.249,35156.62244473925,35025.79,35339.59,116.14,449.23
69,6.0,1,none,zipfian,mean,77.47093563079834,76.997,77.821,0.302,35106.90343482407,34944.03,35349.35,146.59,456.02
70,8.0,1,none,zipfian,mean,77.19802041053772,76.689,77.788,0.453,35239.36279635913,34953.1,35471.8,209.18,462.78
71,0.25,100,none,zipfian,mean,80.88161520957946,80.319,81.315,0.371,33484.180150891465,33284.36,33710.82,152.55,469.86
72,0.5,100,none,zipfian,mean,79.23771381378174,78.856,79.553,0.271,34219.17014717359,34076.54,34404.9,120.93,476.79
73,1.0,100,none,zipfian,mean,77.72703394889831,77.235,78.24,0.391,34953.92172799622,34709.04,35197.23,188.18,483.6
74,2.0,100,none,zipfian,mean,77.67696542739868,76.849,79.018,0.743,35094.7369209938,34849.37,35373.77,192.4,490.41
75,4.0,100,none,zipfian,mean,77.25897059440612,76.982,77.727,0.274,35202.629236129615,34987.49,35325.94,127.69,497.18
76,6.0,100,none,zipfian,mean,76.98058190345765,76.23,77.584,0.489,35335.70114131948,35043.53,35698.35,236.03,503.93
77,8.0,100,none,zipfian,mean,77.408868932724,77.134,77.825,0.243,35129.50855503621,34924.49,35252.97,115.63,510.71
78,0.25,500,none,zipfian,mean,81.03872303962707,80.578,81.765,0.411,33413.405240024425,33087.76,33600.21,180.38,517.8
79,0.5,500,none,zipfian,mean,79.14038171768189,78.766,79.397,0.224,34269.938307238,34122.87,34446.57,109.44,524.73
80,1.0,500,none,zipfian,mean,77.25943427085876,76.841,77.923,0.394,35174.46020871447,34864.08,35400.19,189.67,531.5
81,2.0,500,none,zipfian,mean,77.07871966361999,76.519,77.452,0.322,35288.54419672105,35110.82,35563.95,155.87,538.26
82,4.0,500,none,zipfian,mean,77.48883819580078,76.872,78.132,0.489,35155.76716768359,34850.32,35379.15,175.58,545.05
83,6.0,500,none,zipfian,mean,77.42345876693726,77.003,78.535,0.568,35124.90998995174,34603.01,35320.58,266.88,551.83
84,8.0,500,none,zipfian,mean,77.1646641254425,76.784,77.46,0.249,35255.43396409544,35115.63,35435.96,122.76,558.6
85,0.25,1,snappy,zipfian,mean,89.22734246253967,88.858,90.005,0.462,30187.405117693288,29959.39,30306.62,147.16,566.37
86,0.5,1,snappy,zipfian,mean,83.33552341461181,82.92,83.709,0.291,32425.136554171266,32267.82,32596.93,121.41,573.64
87,1.0,1,snappy,zipfian,mean,78.1478844165802,77.66,78.584,0.348,34723.84693283998,34530.67,34925.44,153.93,580.49
88,2.0,1,snappy,zipfian,mean,76.74977450370788,76.588,76.852,0.098,35406.73570303603,35348.86,35500.33,54.82,587.22
89,4.0,1,snappy,zipfian,mean,76.97644610404969,76.326,77.568,0.428,35309.60443743905,35040.17,35617.89,198.1,593.97
90,6.0,1,snappy,zipfian,mean,76.78881616592408,76.151,77.354,0.501,35412.277312238155,35128.64,35729.24,246.17,600.7
91,8.0,1,snappy,zipfian,mean,77.18371324539184,76.909,78.056,0.438,35225.64489433716,34801.05,35355.21,212.71,607.47
92,0.25,100,snappy,zipfian,mean,90.07455258369446,89.832,90.336,0.214,29885.49378931886,29783.03,29996.95,86.15,615.31
93,0.5,100,snappy,zipfian,mean,83.27840251922608,83.024,83.548,0.202,32449.73853160442,32330.17,32550.92,86.69,622.58
94,1.0,100,snappy,zipfian,mean,78.26611962318421,78.056,78.535,0.211,34669.325766092355,34551.64,34771.74,91.09,629.43
95,2.0,100,snappy,zipfian,mean,76.71163001060486,75.901,77.598,0.669,35429.069589833525,35009.98,35823.74,321.53,636.16
96,4.0,100,snappy,zipfian,mean,76.86313943862915,76.326,77.204,0.339,35371.40636963513,35210.78,35630.78,164.22,642.9
97,6.0,100,snappy,zipfian,mean,77.18667511940002,76.773,77.587,0.307,35217.83474746092,35040.65,35412.92,140.59,649.66
98,8.0,100,snappy,zipfian,mean,76.56745619773865,76.107,77.063,0.343,35518.43777771968,35286.98,35741.21,165.08,656.38
99,0.25,500,snappy,zipfian,mean,89.34997191429139,88.968,89.896,0.305,30138.453851730737,29931.02,30324.57,125.81,664.16
100,0.5,500,snappy,zipfian,mean,83.29037017822266,82.962,83.575,0.23,32443.955950125055,32322.82,32574.95,96.83,671.43
101,1.0,500,snappy,zipfian,mean,78.26848568916321,78.15,78.416,0.105,34666.3527591515,34602.08,34728.35,53.73,678.29
102,2.0,500,snappy,zipfian,mean,76.59497771263122,75.985,77.163,0.499,35503.2290336595,35237.44,35804.7,239.8,685.0
103,4.0,500,snappy,zipfian,mean,76.71656866073609,76.345,77.287,0.333,35435.24769701936,35172.08,35613.92,152.94,691.73
104,6.0,500,snappy,zipfian,mean,78.39283299446106,76.718,82.422,2.085,35231.686568397956,35143.59,35444.3,112.37,698.6
105,8.0,500,snappy,zipfian,mean,77.06056108474732,76.446,77.665,0.472,35272.44566950074,34978.89,35580.76,230.66,705.35
106,0.25,1,zstd,zipfian,mean,96.73743309974671,96.033,97.532,0.523,27722.94219214926,27478.72,27916.82,150.01,713.75
107,0.5,1,zstd,zipfian,mean,87.18693952560425,86.593,87.661,0.383,30905.56284607939,30722.7,31126.51,144.76,721.35
108,1.0,1,zstd,zipfian,mean,79.71941041946411,79.05,80.41,0.437,33985.052959347726,33675.79,34297.5,198.4,728.32
109,2.0,1,zstd,zipfian,mean,76.92053694725037,76.343,77.377,0.453,35334.09758154245,35109.37,35610.95,217.39,735.07
110,4.0,1,zstd,zipfian,mean,76.97133655548096,76.333,77.732,0.461,35308.24943813189,34939.27,35616.9,222.95,741.81
111,6.0,1,zstd,zipfian,mean,77.36167759895325,77.034,77.79,0.256,35114.89030768954,34911.15,35266.08,120.11,748.59
112,8.0,1,zstd,zipfian,mean,77.01722593307495,76.367,77.651,0.435,35289.19271844346,34976.02,35612.44,217.07,755.34
113,0.25,100,zstd,zipfian,mean,96.6581886768341,96.502,96.751,0.104,27744.57290196952,27704.43,27781.4,29.22,763.73
114,0.5,100,zstd,zipfian,mean,87.3100615978241,86.698,87.711,0.342,30861.621728463855,30712.75,31098.91,130.47,771.34
115,1.0,100,zstd,zipfian,mean,79.63413219451904,79.36,79.781,0.15,34035.819983872716,33971.63,34166.59,70.65,778.31
116,2.0,100,zstd,zipfian,mean,77.12037138938904,76.741,77.552,0.326,35229.75130517206,35019.08,35428.11,162.48,785.07
117,4.0,100,zstd,zipfian,mean,77.13072152137757,76.902,77.295,0.172,35229.79182892863,35152.28,35352.77,85.61,791.83
118,6.0,100,zstd,zipfian,mean,77.0036009311676,76.786,77.311,0.184,35294.32084457947,35136.36,35385.51,91.12,798.58
119,8.0,100,zstd,zipfian,mean,77.15550937652588,76.775,77.874,0.395,35226.08894244458,34900.21,35406.55,183.94,805.35
120,0.25,500,zstd,zipfian,mean,97.25834245681763,96.813,97.749,0.359,27567.109455074526,27448.37,27685.25,95.41,813.78
121,0.5,500,zstd,zipfian,mean,87.34774861335754,86.711,87.553,0.323,30854.637940905006,30768.49,31094.38,122.54,821.4
122,1.0,500,zstd,zipfian,mean,79.44412317276002,79.035,79.701,0.227,34109.90252749994,34003.21,34295.21,102.88,828.35
123,2.0,500,zstd,zipfian,mean,77.39539785385132,76.764,77.781,0.353,35096.964646395354,34885.46,35401.17,175.56,835.13
124,4.0,500,zstd,zipfian,mean,77.1506941318512,76.554,77.445,0.35,35224.98432054216,35074.26,35517.08,171.23,841.9
125,6.0,500,zstd,zipfian,mean,76.84869780540467,75.882,77.606,0.589,35363.74828018667,35004.24,35834.77,284.97,848.63
126,8.0,500,zstd,zipfian,mean,77.03087549209594,76.643,77.386,0.243,35276.46760866939,35110.82,35464.43,115.38,855.39
127,0.25,1,none,latest,mean,79.42568359375,79.033,79.948,0.309,34134.07333484348,33914.47,34310.83,137.93,862.34
128,0.5,1,none,latest,mean,77.95106806755066,77.77,78.162,0.168,34818.199972954746,34712.34,34907.35,84.59,869.17
129,1.0,1,none,latest,mean,76.512073802948,75.761,77.096,0.454,35537.184768154424,35255.4,35883.49,212.91,875.88
130,2.0,1,none,latest,mean,76.49510149955749,76.335,76.692,0.126,35579.48061878687,35484.09,35669.5,61.59,882.59
131,4.0,1,none,latest,mean,76.68508615493775,76.238,77.153,0.388,35483.08190299284,35246.17,35707.31,193.16,889.31
132,6.0,1,none,latest,mean,76.62223072052002,76.219,76.881,0.291,35523.39899779014,35399.7,35707.81,134.01,896.03
133,8.0,1,none,latest,mean,76.38006830215454,76.063,76.721,0.243,35636.581201840294,35458.05,35795.18,126.35,902.73
134,0.25,100,none,latest,mean,79.59944033622742,78.661,80.409,0.566,34049.57174120711,33671.81,34470.69,263.67,909.69
135,0.5,100,none,latest,mean,77.49345955848693,76.853,78.048,0.4,35040.1459084488,34772.21,35347.4,189.93,916.48
136,1.0,100,none,latest,mean,76.96725888252259,76.692,77.289,0.238,35317.393311771564,35167.25,35450.19,107.31,923.23
137,2.0,100,none,latest,mean,76.59638242721557,75.949,77.016,0.407,35537.636273577635,35334.71,35877.96,209.53,929.95
138,4.0,100,none,latest,mean,76.49252195358277,76.117,76.785,0.222,35587.99098396613,35439.39,35762.68,104.69,936.66
139,6.0,100,none,latest,mean,76.16010451316833,75.651,76.828,0.41,35755.26619051937,35420.76,36018.8,213.43,943.34
140,8.0,100,none,latest,mean,76.44886684417725,75.751,77.36,0.596,35605.02295932981,35150.35,35945.97,297.32,950.04
141,0.25,500,none,latest,mean,79.50797004699707,79.24,80.06,0.289,34093.89351970049,33914.47,34210.42,99.42,957.0
142,0.5,500,none,latest,mean,77.86643071174622,77.476,78.307,0.265,34863.67920498316,34660.17,35055.05,125.12,963.82
143,1.0,500,none,latest,mean,76.84717907905579,75.771,77.638,0.643,35439.11146203946,35175.47,35893.55,251.86,970.56
144,2.0,500,none,latest,mean,76.43382062911988,76.153,76.76,0.194,35611.460694172645,35475.74,35747.2,87.11,977.26
145,4.0,500,none,latest,mean,76.73423609733581,76.616,76.891,0.102,35466.74179271133,35410.96,35516.09,42.11,983.99
146,6.0,500,none,latest,mean,77.48089036941528,75.64,81.819,2.205,35607.14198071175,35463.45,36009.68,202.71,990.78
147,8.0,500,none,latest,mean,76.2126072883606,75.617,76.675,0.347,35722.867942656776,35518.56,36026.4,170.18,997.46
148,0.25,1,snappy,latest,mean,85.65966730117798,84.631,86.763,0.83,31517.087924160023,31131.43,31907.47,309.26,1004.94
149,0.5,1,snappy,latest,mean,80.60300645828247,80.038,81.799,0.626,33593.62986223838,33072.8,33843.63,272.86,1011.99
150,1.0,1,snappy,latest,mean,76.9702341079712,76.577,77.212,0.22,35285.95128989291,35169.67,35486.55,108.19,1018.73
151,2.0,1,snappy,latest,mean,75.9841489315033,75.649,76.354,0.246,35788.41868224383,35602.04,35949.0,125.47,1025.4
152,4.0,1,snappy,latest,mean,76.13118386268616,75.932,76.404,0.163,35728.1100584805,35597.09,35830.25,77.25,1032.08
153,6.0,1,snappy,latest,mean,76.2141351222992,75.355,76.904,0.61,35698.184429308385,35349.84,36123.5,300.36,1038.76
154,8.0,1,snappy,latest,mean,76.99091219902039,75.591,80.691,1.886,35812.42183982317,35434.98,36004.61,207.97,1045.51
155,0.25,100,snappy,latest,mean,86.19651985168457,84.861,86.675,0.68,31304.096200004307,31105.33,31809.94,259.62,1053.03
156,0.5,100,snappy,latest,mean,80.48996386528015,79.882,81.538,0.625,33644.196034427194,33186.41,33906.84,272.22,1060.07
157,1.0,100,snappy,latest,mean,76.672208070755,76.043,77.56,0.538,35435.985725144375,35000.89,35752.69,265.01,1066.79
158,2.0,100,snappy,latest,mean,75.70686764717102,75.302,76.09,0.293,35921.70781606246,35752.19,36119.42,141.19,1073.43
159,4.0,100,snappy,latest,mean,77.06333866119385,75.583,81.067,2.054,35763.612306472176,35343.98,35977.29,225.48,1080.19
160,6.0,100,snappy,latest,mean,76.18112688064575,75.634,76.645,0.4,35711.26571323791,35467.87,35981.33,204.11,1086.87
161,8.0,100,snappy,latest,mean,75.94960536956788,75.578,76.111,0.199,35825.537145116075,35739.71,36011.2,103.31,1093.53
162,0.25,500,snappy,latest,mean,86.31950483322143,85.514,87.541,0.725,31332.143739299914,31118.19,31557.41,168.78,1101.06
163,0.5,500,snappy,latest,mean,81.42033534049988,80.372,82.406,0.653,33231.64907012977,32811.68,33693.52,283.63,1108.18
164,1.0,500,snappy,latest,mean,76.9061583518982,76.596,77.445,0.315,35328.74295613703,35066.57,35488.03,152.6,1114.92
165,2.0,500,snappy,latest,mean,75.69220008850098,75.378,76.038,0.259,36000.05276650862,35832.76,36099.56,103.88,1121.56
166,4.0,500,snappy,latest,mean,75.76964821815491,75.313,76.001,0.272,35913.931315749796,35798.69,36154.62,139.31,1128.21
167,6.0,500,snappy,latest,mean,75.98065342903138,75.414,76.498,0.427,35810.10776831604,35556.05,36090.4,216.08,1134.87
168,8.0,500,snappy,latest,mean,75.90791192054749,75.653,76.211,0.185,35848.221051653054,35714.29,35971.73,85.8,1141.53
169,0.25,1,zstd,latest,mean,92.99292283058166,91.88,93.542,0.622,28894.59922402713,28705.02,29264.17,202.63,1149.62
170,0.5,1,zstd,latest,mean,83.55102930068969,82.65,84.389,0.554,32333.151388824343,31994.4,32707.3,227.0,1156.91
171,1.0,1,zstd,latest,mean,78.20295004844665,77.84,78.605,0.277,34694.515743045864,34501.35,34871.68,135.28,1163.76
172,2.0,1,zstd,latest,mean,76.57818970680236,75.695,77.319,0.611,35597.937291560134,35224.35,35906.14,226.59,1170.48
173,4.0,1,zstd,latest,mean,76.34899187088013,75.907,76.78,0.302,35615.48160762071,35402.15,35842.8,154.13,1177.17
174,6.0,1,zstd,latest,mean,76.17182788848876,75.633,76.632,0.376,35699.21732565442,35480.65,35967.18,185.91,1183.85
175,8.0,1,zstd,latest,mean,75.95292978286743,75.269,76.584,0.527,35809.74208499499,35498.86,36162.28,263.81,1190.52
176,0.25,100,zstd,latest,mean,92.15035352706909,90.717,94.004,1.133,29170.489997312765,28560.59,29676.69,381.37,1198.53
177,0.5,100,zstd,latest,mean,83.48132467269897,82.999,83.917,0.351,32361.058970855654,32183.45,32559.2,144.53,1205.82
178,1.0,100,zstd,latest,mean,78.01515951156617,77.662,78.54,0.326,34789.89370477592,34541.85,34948.33,152.23,1212.65
179,2.0,100,zstd,latest,mean,76.04698219299317,75.647,76.506,0.344,35755.752193291366,35527.43,35963.14,175.67,1219.32
180,4.0,100,zstd,latest,mean,76.67909750938415,76.172,77.097,0.303,35452.84683725855,35240.84,35683.42,145.31,1226.05
181,6.0,100,zstd,latest,mean,76.57964692115783,76.092,77.116,0.392,35508.81514739369,35239.38,35755.69,197.18,1232.76
182,8.0,100,zstd,latest,mean,76.22802410125732,75.734,76.703,0.361,35676.46297637412,35432.04,35919.24,179.04,1239.45
183,0.25,500,zstd,latest,mean,93.29049983024598,91.954,96.326,1.568,29125.633607253567,28819.74,29498.19,226.85,1247.56
184,0.5,500,zstd,latest,mean,83.47904772758484,82.715,83.837,0.399,32364.036515941367,32217.06,32664.31,157.15,1254.85
185,1.0,500,zstd,latest,mean,79.22485151290894,77.46,83.572,2.225,34688.683608124964,34460.01,35047.37,239.82,1261.78
186,2.0,500,zstd,latest,mean,76.7156174659729,76.093,77.298,0.388,35432.81903348636,35142.15,35751.69,195.52,1268.51
187,4.0,500,zstd,latest,mean,76.35236744880676,76.095,77.269,0.459,35608.84172544997,35155.66,35736.72,226.74,1275.2
188,6.0,500,zstd,latest,mean,76.36245384216309,75.743,76.834,0.357,35612.39248599858,35373.28,35935.37,183.92,1281.9
189,8.0,500,zstd,latest,mean,76.64888124465942,76.085,77.232,0.399,35468.65916675193,35186.1,35749.2,195.95,1288.62
