step,phase,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
81,BO,2.0,100,none,zipfian,mean,81.52172207832336,80.688,82.596,0.62,33135.91114089789,32673.07,33496.45,266.75,581.0
82,BO,4.0,100,none,uniform,mean,82.10447192192078,81.175,82.957,0.675,32873.951924285335,32519.09,33264.03,283.63,588.18
83,BO,8.0,1,zstd,uniform,mean,82.4348090171814,81.345,84.359,1.102,32949.44554710529,32560.45,33230.35,224.34,595.38
84,BO,1.0,100,snappy,uniform,mean,81.29745311737061,80.685,81.74,0.386,33212.98435957609,32993.94,33532.87,189.9,602.5
85,BO,4.0,100,zstd,latest,mean,81.93397035598755,81.22,82.431,0.418,33073.146406513566,32880.37,33291.72,141.39,609.66
86,BO,4.0,100,zstd,zipfian,mean,82.55440201759339,81.752,84.157,0.87,32731.714993831305,32065.73,33056.14,360.42,616.88
87,BO,2.0,500,snappy,latest,mean,81.60347805023193,81.223,82.538,0.484,33074.34828909704,32655.14,33311.21,225.59,624.02
88,BO,4.0,100,none,latest,mean,81.21551413536072,80.807,81.668,0.335,33246.94601284875,33065.11,33402.49,133.73,631.13
89,BO,1.0,100,snappy,zipfian,mean,81.92707438468933,81.706,82.164,0.191,32931.3340059914,32823.88,33029.7,82.42,638.29
90,BO,2.0,100,snappy,uniform,mean,81.22675457000733,80.164,81.741,0.577,33227.2729976513,33004.15,33697.07,253.69,645.4
