evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
57,0.25,500,zstd,uniform,mean,72.92040657997131,72.329,73.543,0.463,37317.96665223983,36961.64,37598.95,235.36,363.19
58,0.5,500,zstd,uniform,mean,72.75902361869812,72.469,73.017,0.183,37366.44353519722,37217.96,37517.95,104.15,369.59
59,1.0,500,zstd,uniform,mean,72.40841341018677,72.011,72.891,0.309,37573.54123596549,37302.56,37780.4,179.08,375.96
60,2.0,500,zstd,uniform,mean,72.44403519630433,72.347,72.601,0.097,37535.736730939716,37457.57,37594.54,51.43,382.33
61,4.0,500,zstd,uniform,mean,72.25964183807373,71.69,72.613,0.383,37652.79539126951,37452.64,37970.37,222.12,388.68
62,6.0,500,zstd,uniform,mean,72.4573097705841,72.202,72.633,0.162,37540.704483863476,37446.06,37671.43,85.48,395.05
63,8.0,500,zstd,uniform,mean,72.4121702671051,72.073,72.933,0.323,37566.847276403896,37287.89,37759.78,170.58,401.42
64,0.25,1,none,zipfian,mean,72.1723093032837,71.586,72.811,0.388,37695.43271847915,37348.82,38034.68,217.57,407.77
65,0.5,1,none,zipfian,mean,72.66776242256165,72.506,72.769,0.087,37401.19685690567,37322.68,37515.2,62.77,414.16
66,1.0,1,none,zipfian,mean,72.85502820014953,72.354,73.28,0.372,37302.7148617463,37068.68,37584.05,205.74,420.56
67,2.0,1,none,zipfian,mean,72.43155479431152,71.781,73.379,0.534,37592.37012266314,37304.73,37882.71,197.27,426.93
68,4.0,1,none,zipfian,mean,72.45263104438781,72.191,72.72,0.215,37521.95021003813,37378.27,37662.01,117.46,433.3
69,6.0,1,none,zipfian,mean,72.76854939460755,72.498,72.974,0.156,37336.6973944462,37234.74,37486.64,84.4,439.7
70,8.0,1,none,zipfian,mean,72.63492584228516,72.432,72.83,0.165,37414.65613147705,37309.08,37525.1,92.17,446.09
71,0.25,100,none,zipfian,mean,72.38786792755127,71.872,72.863,0.315,37575.38213178981,37305.28,37858.62,175.59,452.45
72,0.5,100,none,zipfian,mean,72.66612792015076,72.071,73.328,0.523,37454.166629494255,37024.72,37701.95,247.34,458.84
